seller_id,seller_city,seller_state,seller_region,n_orders,n_products,revenue
044668ccd5316b12a7cf0d54a156e3e9,osasco,SP,Sudeste,3,1,137.8
04843805947f0fc584fc1969b6e50fe7,ivoti,RS,Sul,1,1,1400.0
048c2757535328e0d7dac690ad3c0aae,franca,SP,Sudeste,50,20,9065.08
04aa0a1c5ce6b222003403a3e11c3cc0,cosmopolis,SP,Sudeste,11,8,5518.0
04aba03279157f6d4e0fe8ccaf21963c,santo antonio de padua,RJ,Sudeste,15,12,2416.0
04e38a233f726ef161074ab1c9b0399a,sao paulo,SP,Sudeste,19,10,991.6
04ee0ec01589969663ba5967c0e0bdc0,lajeado,RS,Sul,1,1,289.49
04fdea0c111866e6cf812f1570d6b5bd,sao paulo,SP,Sudeste,8,2,865.0
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,Sudeste,87,34,3689.35
052577151711aec5c744fe12e66db3e1,rodeio,SC,Sul,1,1,687.0
054694fa03fe82cec4b7551487331d74,itajobi,SP,Sudeste,20,14,8286.1
056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,Sudeste,64,23,12203.400000000001
0570350b23eda5444f8d1d9544932058,sao paulo,SP,Sudeste,6,3,626.9
05730013efda596306417c3b09302475,criciuma,SC,Sul,4,4,952.0
058cb5aeb36d7c0fcae20fc85d5e0a59,rio de janeiro,RJ,Sudeste,11,7,1236.0
058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,Sudeste,60,11,7549.9
05a48cc8859962767935ab9087417fbb,sao paulo,SP,Sudeste,1,1,42.9
05a940b4ecae36cadfd8e93bd9c43257,goiania,GO,Centro-Oeste,9,8,695.1
05aebce0b5c8f0d41b29b686f2d05fd3,sao paulo,SP,Sudeste,2,2,74.99000000000001
05ca864204d09595ae591b93ea9cf93d,barueri,SP,Sudeste,1,1,179.9
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,Sudeste,62,48,5759.66
05e107217c7266362fd44b75b2cd4cc4,sao paulo - sp,SP,Sudeste,5,3,193.38
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,Sudeste,57,19,13100.31
05feb94f19d094d4b0f9281f0b1d4c99,mogi das cruzes,SP,Sudeste,6,2,9353.0
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,Sul,56,15,20637.58
062c325cd6a2b87845fab56b4ec2eeae,sao paulo,SP,Sudeste,2,2,133.22
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,Sul,54,14,7479.1
06532f10282704ef4c69168b914b77be,paincandu,PR,Sul,7,7,9827.95
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,Sudeste,61,11,4587.400000000001
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,Sul,66,44,8956.380000000001
0691148aee60ca47977c187804f935ae,londrina,PR,Sul,47,37,5868.51
0692610d8abe24f287e9fae90ea0bbee,sao paulo,SP,Sudeste,4,3,173.99
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,Nordeste,389,44,36097.979999999996
06bb3a2fe5e7b7a845b13e8fb91bd944,belo horizonte,MG,Sudeste,17,14,1536.19
06df0c10d34e459d9672bc77388742eb,maringa,PR,Sul,26,1,9070.0
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,Sul,90,34,21648.670000000002
07017df32dc5f2f1d2801e579548d620,joao pessoa,PB,Nordeste,5,2,488.5
070d165398b553f3b4b851c216b8a358,sao paulo,SP,Sudeste,31,11,3333.17
0725b8c0f3f906e58f70cbe76b7c748c,guarulhos,SP,Sudeste,16,14,2161.52
0743a0239d764b9a0f959a57d07e36ab,sao paulo,SP,Sudeste,4,2,336.96
0747d5bb69f0586cc869d8af4c50f93e,saquarema,RJ,Sudeste,12,9,322.8
0761743cbffb25d7148189e9f1a5f03a,ribeirao preto,SP,Sudeste,3,3,241.2
077c5fae4bea9500e3737b16f71b9d3a,sorocaba,SP,Sudeste,4,3,106.80000000000001
0791d9fc1e30678ecf03d3e55fa108d3,belo horizonte,MG,Sudeste,5,5,842.0
079d295dcbf06ee8bb1b65ba964eb2b6,sao paulo,SP,Sudeste,5,3,349.3
07a9bc7f61396b658ddf3ac534efe44c,sao paulo,SP,Sudeste,1,1,119.9
07bf9669d84d1f11be443a9dd938f698,sao paulo,SP,Sudeste,18,11,1776.0
07d75e33f2750d97d467fb57e4dfdd8a,sao paulo,SP,Sudeste,2,2,722.4
07de60b03d150fb3ea09eab5da5e4c8b,ibitinga,SP,Sudeste,9,4,719.1
080102cd0a76b09e0dcf55fcacc60e05,belo horizonte,MG,Sudeste,122,43,5612.65
080199a181c46c657dc5aa235411be3b,osasco,SP,Sudeste,79,40,14504.2
08061dc0fc165ed41288cc7acde738ee,osasco,SP,Sudeste,4,3,123.80000000000001
08084d990eb3f53af056ccbc1730c8a7,sao paulo,SP,Sudeste,12,3,372.5
081acf3de680d554796c9cf041be7bc2,vespasiano,MG,Sudeste,4,4,1597.3
082e0bf4cb865a6533b1e8e498cc0255,botucatu,SP,Sudeste,11,17,2073.3
085f6f7e049c996695fb2074fe38d45e,taubate,SP,Sudeste,5,5,281.6
08633c14ef2db992c11f840f04fad4cd,ribeirao pires,SP,Sudeste,74,16,7644.3
0873d9f8f36123f8d910f4760e788cfb,barueri,SP,Sudeste,6,6,7265.59
0885aaf116795758dfeb5f1032487bcd,ferraz de vasconcelos,SP,Sudeste,27,19,2573.1000000000004
0887a9f087bcd5d9f6642b52f897fc6c,cananeia,SP,Sudeste,12,3,1642.0
08ad4ac1388e4420ca531c3edfc46198,itapevi,SP,Sudeste,6,5,221.61999999999998
08cdbae123ff67ca4e36d9d641ce0119,uba,MG,Sudeste,4,3,3098.99
08d0949a9a17c027262db1f3c450c26c,cascavel,PR,Sul,12,9,324.8
08d1c9478fb0d7d7fcac9c0da4e82fc7,belo horizonte,MG,Sudeste,1,1,538.0
08d2d642cf72b622b14dde1d2f5eb2f5,marilia,SP,Sudeste,14,6,849.0
08f5819815f3d06545011850bd70f0a8,santos,SP,Sudeste,3,3,452.0
091065b789659bc3cd9af9cb3a6253ff,canoas,RS,Sul,2,1,1359.0
0936e1837d0c79253456bbb2ffaaef10,sao paulo,SP,Sudeste,1,1,38.9
093805f8f2aeb63881444571e1f48f30,osasco,SP,Sudeste,22,18,1215.79
094ced053e257ae8cae57205592d6712,ribeirao preto,SP,Sudeste,19,13,1519.2
0951a6e282947e09cd47969f4ed0b47f,taboao da serra,SP,Sudeste,7,2,492.3
09883d9ab71c8fe8a9bfc7fc3075b07e,sao paulo,SP,Sudeste,3,3,209.70000000000002
099095b050cfe8eb1ddff5317587e96e,sao paulo,SP,Sudeste,16,11,5003.84
09bad886111255c5b5030314fc7f1a4a,sao paulo,SP,Sudeste,5,1,487.5
09f952a5f58d2285b0372551ae8f9b01,sao bernardo do campo,SP,Sudeste,50,11,11821.5
0a198e95d32b1be2da9424c962a6ebfa,contagem,MG,Sudeste,1,1,69.99
0a82f5fb06a4fe4ac2cf7cb412ec71b8,sao paulo,SP,Sudeste,2,2,462.0
0a85ebe4e328db81ac9109781205e2f7,jundiai,SP,Sudeste,12,8,667.9
0aa2205ca24f113f4658a5c536667426,sao paulo,SP,Sudeste,4,3,815.62
0ac4201fda2c68ebc0e47cb9423cf3c9,sao paulo,SP,Sudeste,13,4,1676.88
0ad80de75c811326389cfb1daba7d45e,rio de janeiro,RJ,Sudeste,6,6,1449.3999999999999
0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,Sudeste,106,64,15557.6
0ade5cc4a305ed7093a23f68ca47519c,curitiba,PR,Sul,2,2,158.88
0aea4c6ae1505b3228ddf3dd7822ee5b,sorocaba,SP,Sudeste,8,8,1427.91
0af2ab31141893d26aca5a404a537dab,sao paulo,SP,Sudeste,1,1,59.0
0af977692321d895349eded183341d28,santos,SP,Sudeste,2,2,257.75
0afccdb8a34ee5c79f7c06faf2b4d56e,uberlandia,MG,Sudeste,24,10,1185.6
0b09101900100c0e9d312861fad5a1b9,sao paulo,SP,Sudeste,1,1,153.75
0b0ddbc7b9d9584f442c7ac92b0ff6c9,guarulhos,SP,Sudeste,3,3,1416.76
0b18d63d0cd1d723567903fd34a07df2,sp,SP,Sudeste,9,9,1678.1399999999999
0b1ca3ef18a63d7eb0c8897fa0849c08,sao roque,SP,Sudeste,1,1,55.0
0b35c634521043bf4b47e21547b99ab5,teixeira soares,PR,Sul,50,39,13235.65
0b36063d5818f81ccb94b54adfaebbf5,jaragua do sul,SC,Sul,1,1,765.0
0b3f27369a4d8df98f7eb91077e438ac,aruja,SP,Sudeste,1,1,98.67
0b46f784306be7200ca1700aa55d819f,belo horizonte,MG,Sudeste,1,1,19.9
0b64bcdb0784abc139af04077d49a20e,canoas,RS,Sul,4,2,137.6
0b90b6df587eb83608a64ea8b390cf07,maringa,PR,Sul,163,46,28492.76
0bae85eb84b9fb3bd773911e89288d54,itajai,SP,Sudeste,136,45,7433.5599999999995
0bb27263628258b8111a0262769fa9db,sao paulo,SP,Sudeste,1,1,22.2
0bb738e4d789e63e2267697c42d35a2d,sao roque,SP,Sudeste,28,4,1979.4
0be8ff43f22e456b4e0371b2245e4d01,sao paulo,SP,Sudeste,156,119,11336.0
0bebbb2cea103a4a020c95d43fd7d754,sao paulo,SP,Sudeste,9,9,1367.2
0bf0150d5b9d60d9cd2906003332f085,sao paulo,SP,Sudeste,39,15,5774.6
0bfd0b434243adc5c2e1aa6baf19c6aa,rio de janeiro,RJ,Sudeste,5,5,328.70000000000005
0c7533c71df861ec58ad7ff999ed0e8d,valinhos,SP,Sudeste,61,29,2989.2999999999997
0c7f30ae9b147eca07affbef92832a6a,ponta grossa,PR,Sul,4,3,329.6
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,Sudeste,156,73,15204.99
0cab2da43793a6f3c5ed8514c5f54627,curitiba,PR,Sul,3,2,309.70000000000005
0cbcee27c791afa0cdcb08587a2013a8,tres coracoes,MG,Sudeste,38,13,5189.15
0d33a55da925bbf1ff02af5f6059fc7f,sao paulo,SP,Sudeste,22,8,547.3
0d4c8269e7f0401201794deef160edd6,ribeirao preto,SP,Sudeste,3,4,792.64
0d83f8e03188682112cc0d93523705cc,porto alegre,RS,Sul,3,1,516.3000000000001
0d85bbda9889ce1f7e63778d24f346eb,uberlandia,MG,Sudeste,51,17,4845.2
0daf5180aa44356f60f8effa533b55a2,goiania,GO,Centro-Oeste,2,2,144.8
0db783cfcd3b73998abc6e10e59a102f,santos,SP,Sudeste,131,14,8979.4
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,Sudeste,161,11,18446.92
0ddefe3c7a032b91f4e25b9c3a08fca1,sao bernardo do campo,SP,Sudeste,9,7,402.9
0df3984f9dfb3d49ac6366acbd3bbb85,betim,MG,Sudeste,86,25,9891.49
0dfbed20065e425d2eaefb101f9816c0,porto ferreira,SP,Sudeste,3,2,84.35
0e44d110fa6a54e121cb2c095a77762f,francisco morato,SP,Sudeste,6,5,223.32
0e72c1a751b496722a6cb1f10653b62a,sao paulo,SP,Sudeste,3,3,140.8
0e982cff76cc0579f632cea8a0e38c9d,itajai,SC,Sul,6,6,971.9
0ea22c1cfbdc755f86b9b54b39c16043,sete lagoas,MG,Sudeste,228,149,10422.7
0eaa7e33d73809f1f925f7d07c506cbd,santo andre,SP,Sudeste,15,12,1552.0
0ebd97a106433a45a4aebe57c1799778,contagem,MG,Sudeste,31,10,3046.8
0ec28cec4046a4a199b6de9b4c891d97,goiania,GO,Centro-Oeste,3,2,296.6
0ed6ce5d87fd9c69eaacaeb778d67235,americana,SP,Sudeste,42,25,2026.52
0ee4fb99ac55ffbbc98795aa01b7f8fa,santana de parnaiba,SP,Sudeste,1,1,59.9
0ef83d7d83ed97cd2a0049ac8be5f88a,curitiba,PR,Sul,48,14,4421.01
0f0c984a4a955310903b6b6008660bad,franca,SP,Sudeste,4,4,369.81
0f519b0d2e5eb2227c93dd25038bfc01,ibitinga,SP,Sudeste,1,1,79.9
0f7eea709efdf942b5f95c7516dbacd7,pedrinhas paulista,SP,Sudeste,3,2,195.74
0f80a40c312b2472dca482cf50f5186f,lencois paulista,SP,Sudeste,1,1,129.9
0f94588695d71662beec8d883ffacf09,florianopolis,SC,Sul,1,1,9.0
0fe2d9733ed841eb064503920015a8c0,ourinhos,SP,Sudeste,3,3,389.64
0ff83046c3fa22efee8ecf291888b191,caxias do sul,RS,Sul,10,6,768.9000000000001
0ffa40d54288e4f3499b8780dd0f144f,presidente prudente,SP,Sudeste,33,21,2162.8
10076e5788b8ee532724bcd460baf762,batatais,SP,Sudeste,23,13,821.48
10089e9f2fd0c668a8fd4e52e1698888,sao jose do rio preto,SP,Sudeste,3,3,1139.9
101a3a003516bc11253298b2fad3cb65,rio claro,SP,Sudeste,5,2,450.0
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,Sudeste,910,153,138208.56
10264f60a8f0a4d2f30810f5c661c673,campinas,SP,Sudeste,4,2,284.6
1099a00e0ee3a50935e6c2447ca090c5,rio de janeiro,RJ,Sudeste,3,3,849.6999999999999
10cdd491d1dbea8fb4ead97b19c334ce,santa rita do sapucai,MG,Sudeste,3,2,208.9
10ff823eda2b032e2c93d17a7d294736,pederneiras,SP,Sudeste,8,5,1144.98
112453736dbe3889cfb74e1aaa0ba0c1,sao paulo,SP,Sudeste,7,2,1890.0
1127b7f2594683f2510f1c2c834a486b,campinas,SP,Sudeste,110,73,6669.7
11305281b50fff20ae8bb473f8e11876,uba,MG,Sudeste,33,16,6308.820000000001
113e3a788b935f48aad63e1c41dac1bd,aparecida,SP,Sudeste,39,28,847.35
116ccb1a1604bc88e4d234a8c23f33de,sao bernardo do campo,SP,Sudeste,60,26,1970.35
11742f81550ac064cc9a40f67151d9ad,catanduva,SP,Sudeste,2,2,781.9
117cfc326c6d50da67ca858ff5c0c852,sao joao de meriti,RJ,Sudeste,5,2,454.6
11938fcc75f6902fea1d0a6f72b54a57,sao miguel d'oeste,SC,Sul,2,2,594.98
119c7f1a00ef43fad0e57604e76a747c,sao paulo,SP,Sudeste,2,2,189.8
119d1aef1b4144adba89163f6cd9f5d4,pedreira,SP,Sudeste,4,3,1094.0
11bfa66332777660bd0640ee84d47006,ribeirao preto,SP,Sudeste,76,40,3925.87
11d4c477d09821164bca4f70a2eae031,ribeirao preto,SP,Sudeste,3,2,83.04
11eac105f3f90a9b87b19c89d91e24f3,sao paulo,SP,Sudeste,5,4,802.89
11fb6f6d341adbe19e81733701704635,sao paulo,SP,Sudeste,3,1,1197.0
120476eb7a04c149d14772edaf5d9bf2,angra dos reis,RJ,Sudeste,4,4,2368.8
1284de4ae8aa26997e748c851557cf0e,laranjeiras do sul,SP,Sudeste,3,3,1459.97
128639473a139ac0f3e5f5ade55873a5,maringa,PR,Sul,527,66,11795.849999999999
128f9bfbe4c7d5185033914b1de3d39a,atibaia,SP,Sudeste,13,9,1267.39
12a8eb0f8d1cd3270695bf2a99f55966,sao paulo,SP,Sudeste,2,2,397.0
12b9676b00f60f3b700e83af21824c0e,montenegro,RS,Sul,133,37,26376.0
12c2ed9cded6138cf0c75f525f565fc7,praia grande,SP,Sudeste,4,4,314.96
13074f016982ff2bd6c58ced8682f000,bento goncalves,RS,Sul,13,4,1977.0
131fcb0a0c9a47bba4474aacff0f14b7,sao paulo,SP,Sudeste,4,2,369.8
1336efc61c316ddf92c899eb817f7cae,assis,SP,Sudeste,74,50,4837.31
134285d1f41da5c13a756ee8142c8a4e,sao paulo,SP,Sudeste,3,2,1572.6999999999998
134a288e7de827ec5ec62e3ec9c3a295,sao paulo,SP,Sudeste,9,7,877.45
134b867a0f7f8bbe6abf10f91874891e,valinhos,SP,Sudeste,1,1,789.89
13511db12ac61e2f89c53b72a944a60b,caxias do sul,RS,Sul,6,4,798.0
1354d51653f645349064725ed204e85e,sao paulo,SP,Sudeste,18,13,2410.0
138dbe45fc62f1e244378131a6801526,sao paulo,SP,Sudeste,49,22,1125.56
139157dd4daa45c25b0807ffff348363,sao paulo,SP,Sudeste,1,1,29.9
13c2ed7698b3ca92dad49e849219da59,ponta grossa,PR,Sul,8,7,498.61
13d058e4eeac2ce8217660b2f8a05812,osasco,SP,Sudeste,22,3,3739.78
13d95f0f6f73943d4ceffad0fc2cd32c,goiania,GO,Centro-Oeste,1,1,249.99
13dd308f81fea30cc670c656b2b46cc3,santa barbara d'oeste,SP,Sudeste,3,2,117.69999999999999
13e85aac53340018b40c2af68001b7e0,pedreira,SP,Sudeste,1,1,17.8
13f57c12a00ed4610db646b913a7f5c6,santos,SP,Sudeste,7,6,645.2
13fa2a6c6b9d0f43cb588d7c82117a12,sao paulo,SP,Sudeste,9,4,4528.0
141440cad9341e553f8401c574a2aa38,pitanga,PR,Sul,11,9,1288.2
1430239a858e7682bbc43b20758af153,sao paulo,SP,Sudeste,17,9,633.99
1444c08e64d55fb3c25f0f09c07ffcf2,lauro de freitas,BA,Nordeste,1,1,2749.0
1464afc72f696af775557a821c2e253f,nova friburgo,RJ,Sudeste,29,8,1059.36
14a08204d03bb6b6bde8029f801ae0eb,sao paulo,SP,Sudeste,28,24,2185.4
14d7985702e72162bbf13b6beb74ab2b,santo andre,SP,Sudeste,37,26,3887.0
14ee35374a7876217954b5fa08e50463,sao jose do rio preto,SP,Sudeste,1,1,119.0
14f2b3587172b9db894c9bad8dab520b,ipe,RS,Sul,2,1,244.0
152ee17e4c8aaf53dac99f3462e4999b,garuva,SC,Sul,6,3,308.96000000000004
154bdf805377afea75a3bd158e9eab10,ibitinga,SP,Sudeste,1,1,89.9
1554a68530182680ad5c8b042c3ab563,monte siao,MG,Sudeste,246,69,28979.64
157c3e4b42f81ac4a44e8b1ca2fe9876,sao paulo,SP,Sudeste,23,13,2548.5
1588ac4010787100dddef64568f0ae35,maringa,PR,Sul,3,2,599.97
15aac934c58d886785ac1b17953ea898,muqui,ES,Sudeste,23,18,3338.9
15b3b1b81484422eb41df68ac87f1f50,bauru,SP,Sudeste,1,1,43.35
15ead3a5037a918ddb520dfe39a3d2b9,conselheiro lafaiete,MG,Sudeste,6,7,254.5
15fa791d5e017f66402dc28c44480657,sao paulo,SP,Sudeste,8,4,1802.0
160851d3ece7aa1a510f8d1a4bb8a8af,garca,SP,Sudeste,2,2,102.05
16090f2ca825584b5a147ab24aa30c86,atibaia,SP,Sudeste,398,37,25579.16
160e4f13fd3a64b1b86807be88b5ffb0,colombo,PR,Sul,4,2,886.0
164a5a8794e6d42e14f55e447b12a3bc,guaira,PR,Sul,1,1,73.99
165b1235e9e9942cb5fae67103576fb0,ribeirao preto,SP,Sudeste,11,9,2085.15
165fc07beebdcb6190fba8a06db2a449,maringa,PR,Sul,50,27,17481.4
1660ad786c27fd935378b6192a90b417,sao bernardo do campo,SP,Sudeste,12,9,1570.0
167fd940acebc789debd6eb418c46e38,franca,SP,Sudeste,5,3,1077.58
1690cada046eb7e92c12f98b1f8a8167,sao paulo,SP,Sudeste,10,3,1760.0
16bdc8cefd0e32a6f0824d296c5ad14a,sp,SP,Sudeste,1,1,41.76
1703bc09972dab9782e7a9194943b69f,minas gerais,MG,Sudeste,1,1,249.9
1710c3aaa9c6b44ec3883ee0fe300e21,sao caetano do sul,SP,Sudeste,2,2,1188.9
17306570e772e7718c92a562d33f5f1d,bariri,SP,Sudeste,21,14,5835.599999999999
173d56ffbd4c56cb80fc3615487d712b,sao vicente,SP,Sudeste,2,1,358.0
1746c1ae87ac63d530c7c943d0ac42e2,santana de parnaiba,SP,Sudeste,1,1,229.9
1771297ac436903d1dd6b0e9279aa505,guarulhos,SP,Sudeste,28,9,2881.27
1782ce2db72c3dda627d5e7c898104e1,taboao da serra,SP,Sudeste,8,6,1833.8
17908cf9b444ee34047cadd5c0f4a516,anapolis,GO,Centro-Oeste,11,9,1993.99
17998cf586426bf0f2c3726cb0a4b211,belo horizonte,MG,Sudeste,2,2,69.8
179d859f51292aac5c10806a356f7af9,ribeirao pires,SP,Sudeste,18,8,404.46999999999997
17a053fcb14bd219540cbde0df490be0,mogi guacu,SP,Sudeste,120,85,38393.74
17ca9b9e9b9ef8fdb529001b49ebb50f,betim,MG,Sudeste,115,46,9649.86
17e34d8224d27a541263c4c64b11a56b,riberao preto,SP,Sudeste,247,110,54440.28
17eea220a40cc0d2c0c5346379682398,sao paulo,SP,Sudeste,3,2,875.98
17f51e7198701186712e53a39c564617,sao paulo,SP,Sudeste,56,27,48019.0
180c3376aff0e43dd5788709df48a843,sao paulo,SP,Sudeste,5,3,4513.0
1835b56ce799e6a4dc4eddc053f04066,ibitinga,SP,Sudeste,417,144,33005.32
1838dd9b8977065acf51d95e0053ea7a,belo horizonte,MG,Sudeste,62,14,2750.5
184725737946a1a938bbbd1a9e978103,maua,SP,Sudeste,3,2,359.70000000000005
184a67a8f9f63234d3a92340bbdb727f,joinville,SC,Sul,7,7,246.29
186cdd1b2df32caa72cfb410bba768d3,rio negrinho,SC,Sul,6,6,1341.45
189ca3538ce9f920cacf0f982cbe223b,sao paulo,SP,Sudeste,4,4,419.0
18a349e75d307f4b4cc646a691ed4216,sao paulo,SP,Sudeste,109,40,7425.21
18e694e0e48ed6f7aa3f24aade5fd697,varzea paulista,SP,Sudeste,31,4,701.54
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,SP,Sudeste,406,126,24639.57
191d55f7edb8524d525ed01b20fe32e8,brasilia,DF,Centro-Oeste,3,3,747.0
1927cdb9fa74f5270097f6250e8e8f34,marilia,SP,Sudeste,1,1,120.0
19484c79cef6c062cb177aa4ef2fcc3c,valinhos,SP,Sudeste,1,1,201.9
1961c3e1272bfeceb05d0b78b5bbfdaf,guarulhos,SP,Sudeste,2,1,657.0
1976a05ecf2996d6ffb7b5430e635fe7,assis,SP,Sudeste,8,4,1796.2
1987cd4be10fe09ee50454f9c354d1c6,ouro fino,MG,Sudeste,14,7,2877.7
198c7ea11960a9844b544d9bcdca860c,jacutinga,MG,Sudeste,25,4,1733.75
1996942dc085d7773ba77a529b163cd0,pradopolis,SP,Sudeste,9,7,2383.52
19a7c9f66ffa6452ff4b4c0cca71da27,itaipulandia,PR,Sul,1,1,279.0
19d62d484cba71963c93f0f00ab42013,gaspar,SC,Sul,1,1,139.9
19e0f40a907ec568c34bfac15de4f4a1,americana,SP,Sudeste,4,1,178.0
1a3df491d1c4f1589fc2b934ada68bf2,joinville,SC,Sul,160,5,22472.4
1a932caad4f9d804097d7f8e615baed1,sao paulo,SP,Sudeste,20,4,4661.0
1acde099eb406aa220b1169b188b42da,sao paulo,SP,Sudeste,9,9,311.1
1b0b0f4f95e962d6f32fe90c759d0479,sao paulo,SP,Sudeste,2,2,139.8
1b1ae47a313a825a7ccceb8e2e30fa9d,bocaiuva do sul,PR,Sul,10,5,2184.0
1b45169b635ef59425637e9a33eb5fb3,maringa,PR,Sul,7,6,308.9
1b4b28463457a256e9a784ebe2a8f630,piracicaba,SP,Sudeste,1,1,699.42
1b4c3a6f53068f0b6944d2d005c9fc89,sao ludgero,SC,Sul,111,31,14420.5
1b61fb1f0f2185d89e9a126c498e9cc7,maringa,PR,Sul,1,1,49.7
1b65c144b17e607c0f37f10bb7dfec8d,rio do sul,SC,Sul,5,3,1109.5
1b7e5006cb25dd23ce8686691013b121,sao paulo,SP,Sudeste,11,7,2636.74
1b8356dabde1d35e17cef975c3f82730,sao paulo,SP,Sudeste,49,13,2636.48
1b8b75e227c9a9c100d0c210fb6176ce,sao paulo,SP,Sudeste,11,9,964.89
1b938a7ec6ac5061a66a3766e0e75f90,penapolis,SP,Sudeste,29,8,3859.8
